,0
0,0
1,269
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,79
18,0
19,0
20,0
21,55
22,0
23,220
24,0
25,0
26,112
27,286
28,0
29,0
30,0
31,0
32,0
33,274
34,257
35,0
36,0
37,0
38,0
39,0
40,244
41,0
42,281
43,127
44,253
45,259
46,0
47,0
48,219
49,0
50,83
51,0
52,0
53,0
54,0
55,181
56,181
57,263
58,237
59,0
60,241
61,183
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,215
71,225
72,138
73,0
74,240
75,268
76,215
77,0
78,0
79,0
80,0
81,281
82,0
83,0
84,0
85,192
86,150
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,94
96,0
97,0
98,0
99,223
100,236
101,0
102,192
103,0
104,0
105,0
106,0
107,0
108,272
109,0
110,239
111,0
112,0
113,0
114,0
115,0
116,0
117,141
118,0
119,0
120,256
121,0
122,0
123,250
124,0
125,108
126,280
127,252
128,280
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,247
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,238
153,0
154,232
155,0
156,0
157,0
158,0
159,0
160,218
161,243
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,195
181,0
182,0
183,207
184,207
185,226
186,0
187,0
188,0
189,0
190,227
191,0
192,0
193,0
194,243
195,0
196,0
197,0
198,0
199,279
200,276
201,0
202,0
203,238
204,0
205,0
206,117
207,0
208,0
209,0
210,264
211,0
212,0
213,0
214,277
215,226
216,0
217,253
218,0
219,269
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,243
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,231
239,0
240,0
241,0
242,0
243,0
244,0
245,249
246,0
247,0
248,220
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,268
257,255
258,130
259,0
260,0
261,0
262,0
263,0
264,0
265,290
266,269
267,269
268,0
269,0
270,159
271,0
272,0
273,0
274,220
275,0
276,224
277,227
278,0
279,249
280,0
281,0
282,0
283,295
284,0
285,0
286,0
287,0
288,74
289,214
290,208
291,191
292,243
293,0
294,281
295,0
296,0
297,0
298,245
299,0
300,0
301,0
302,0
303,0
304,216
305,0
306,0
307,187
308,0
309,201
310,0
311,111
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,227
322,0
323,0
324,0
325,237
326,0
327,256
328,211
329,0
330,225
331,0
332,0
333,0
334,234
335,255
336,0
337,0
338,0
339,211
340,0
341,0
342,0
343,0
344,221
345,0
346,0
347,272
348,0
349,0
350,0
351,0
352,0
353,0
354,261
355,0
356,0
357,0
358,0
359,0
360,0
361,145
362,211
363,0
364,0
365,0
366,193
367,0
368,0
369,0
370,0
371,239
372,0
373,0
374,245
375,0
376,0
377,0
378,0
379,0
380,156
381,0
382,0
383,244
384,0
385,0
386,229
387,0
388,0
389,0
390,0
391,293
392,0
393,0
394,0
395,0
396,0
397,0
398,264
399,0
400,0
401,0
402,0
403,298
404,0
405,0
406,0
407,0
408,0
409,287
410,0
411,177
412,266
413,0
414,0
415,0
416,0
417,0
418,0
419,191
420,0
421,0
422,235
423,104
424,0
425,0
426,0
427,259
428,0
429,0
430,0
431,0
432,102
433,221
434,0
435,273
436,0
437,180
438,0
439,292
440,0
441,0
442,0
443,0
444,0
445,0
446,218
447,0
448,253
449,0
450,0
451,294
452,0
453,0
454,223
455,0
456,0
457,0
458,236
459,0
460,0
461,0
462,223
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,195
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,183
493,240
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,261
508,0
509,0
510,278
511,280
512,0
513,235
514,52
515,165
516,0
517,270
518,0
519,0
520,0
521,0
522,0
523,111
524,0
525,0
526,0
527,0
528,0
529,0
530,164
531,0
532,0
533,211
534,283
535,0
536,105
537,0
538,0
539,0
540,0
541,222
542,249
543,0
544,0
545,0
546,191
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,216
555,186
556,0
557,0
558,0
559,0
560,0
561,130
562,0
563,0
564,122
565,0
566,0
567,233
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,254
577,292
578,284
579,0
580,266
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,219
590,0
591,0
592,0
593,0
594,0
595,0
596,215
597,239
598,0
599,0
600,0
601,237
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,266
610,0
611,127
612,248
613,210
614,0
615,0
616,0
617,0
618,233
619,0
620,271
621,0
622,0
623,0
624,218
625,243
626,0
627,0
628,0
629,100
630,0
631,215
632,211
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,261
641,0
642,236
643,0
644,0
645,0
646,248
647,0
648,276
649,0
650,241
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,229
660,214
661,249
662,247
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,227
674,0
675,221
676,0
677,0
678,42
679,256
680,0
681,254
682,164
683,0
684,0
685,0
686,0
687,0
688,0
689,162
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,99
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,272
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,273
716,193
717,0
718,191
719,225
720,224
721,0
722,0
723,0
724,0
725,274
726,170
727,0
728,197
729,0
730,0
731,0
732,0
733,238
734,227
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,259
745,261
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,223
755,0
756,0
757,0
758,279
759,0
760,0
761,236
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,242
777,0
778,257
779,280
780,240
781,265
782,0
783,233
784,278
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,292
796,148
797,0
798,263
799,276
800,0
801,0
802,0
803,0
804,309
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,243
819,0
820,0
821,0
822,0
823,0
824,0
825,241
826,0
827,291
828,0
829,0
830,0
831,0
832,0
833,0
834,247
835,0
836,224
837,0
838,0
839,197
840,0
841,0
842,261
843,0
844,0
845,0
846,0
847,228
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,242
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,129
866,0
867,182
868,0
869,0
870,0
871,0
872,133
873,0
874,0
875,0
876,228
877,0
878,308
879,0
880,0
881,271
882,281
883,0
884,0
885,256
886,192
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,227
896,195
897,0
898,0
899,0
900,123
901,0
902,303
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,213
911,0
912,226
913,0
914,205
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,233
923,8
924,0
925,0
926,0
927,0
928,55
929,299
930,0
931,0
932,0
933,0
934,253
935,0
936,0
937,182
938,118
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,104
947,0
948,0
949,235
950,0
951,192
952,0
953,0
954,0
955,0
956,212
957,0
958,0
959,123
960,0
961,0
962,0
963,219
964,225
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,242
981,256
982,207
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,221
991,0
992,0
993,283
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,203
1002,209
1003,200
1004,194
1005,198
1006,112
1007,0
1008,227
1009,0
1010,152
1011,0
1012,0
1013,200
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,265
1024,284
1025,0
1026,0
1027,250
1028,0
1029,0
1030,0
1031,0
1032,288
1033,256
1034,0
1035,0
1036,0
1037,0
1038,0
1039,261
1040,0
1041,289
1042,0
1043,0
1044,0
1045,0
1046,0
1047,203
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,261
1055,0
1056,0
1057,0
1058,0
1059,0
1060,254
1061,244
1062,0
1063,241
1064,0
1065,0
1066,0
1067,264
1068,239
1069,0
1070,139
1071,0
1072,218
1073,266
1074,0
1075,0
1076,252
1077,0
1078,0
1079,0
1080,194
1081,0
1082,0
1083,0
1084,90
1085,287
1086,0
1087,0
1088,0
1089,257
1090,260
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,248
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,275
1106,0
1107,220
1108,255
1109,243
1110,0
1111,0
1112,0
1113,230
1114,229
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,229
1122,0
1123,290
1124,0
1125,261
1126,0
1127,0
1128,0
1129,0
1130,257
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,292
1140,0
1141,203
1142,0
1143,111
1144,0
1145,230
1146,0
1147,0
1148,248
1149,0
1150,252
1151,257
1152,0
1153,250
1154,0
1155,0
1156,0
1157,0
1158,292
1159,212
1160,0
1161,0
1162,0
1163,276
1164,0
1165,0
1166,0
1167,135
1168,284
1169,0
1170,0
1171,0
1172,197
1173,0
1174,0
1175,0
1176,273
1177,236
1178,0
1179,0
1180,0
1181,138
1182,293
1183,0
1184,0
1185,0
1186,104
1187,0
1188,0
1189,211
1190,262
1191,0
1192,275
1193,0
1194,264
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,233
1202,0
1203,228
1204,181
1205,0
1206,0
1207,0
1208,0
1209,35
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,258
1218,0
1219,0
1220,0
1221,0
1222,228
1223,0
1224,191
1225,0
1226,0
1227,249
1228,268
1229,0
1230,0
1231,0
1232,283
1233,0
1234,0
1235,0
1236,0
1237,0
1238,203
1239,0
1240,0
1241,191
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,234
1252,0
1253,242
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,220
1262,0
1263,224
1264,0
1265,0
1266,0
1267,0
1268,0
1269,271
1270,115
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,218
1283,271
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,285
1292,252
1293,292
1294,212
1295,215
1296,0
1297,271
1298,0
1299,220
1300,223
1301,0
1302,0
1303,0
1304,0
1305,0
1306,278
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,264
1318,0
1319,226
1320,0
1321,0
1322,0
1323,0
1324,0
1325,230
1326,0
1327,0
1328,0
1329,246
1330,0
1331,0
1332,236
1333,0
1334,0
1335,0
1336,281
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,123
1349,0
1350,0
1351,0
1352,259
1353,0
1354,157
1355,0
1356,0
1357,0
1358,268
1359,229
1360,0
1361,190
1362,0
1363,0
1364,0
1365,200
1366,190
1367,0
1368,247
1369,130
1370,0
1371,203
1372,285
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,213
1380,201
1381,0
1382,0
1383,256
1384,0
1385,0
1386,121
1387,296
1388,0
1389,0
1390,0
1391,0
1392,287
1393,272
1394,0
1395,0
1396,0
1397,305
1398,0
1399,0
1400,0
1401,0
1402,108
1403,0
1404,0
1405,220
1406,264
1407,0
1408,0
1409,0
1410,0
1411,298
1412,265
1413,0
1414,277
1415,230
1416,0
1417,36
1418,298
1419,0
1420,0
1421,277
1422,0
1423,0
1424,278
1425,0
1426,0
1427,0
1428,0
1429,212
1430,279
1431,0
1432,263
1433,0
1434,245
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,243
1448,0
1449,0
1450,0
1451,0
1452,255
1453,248
1454,0
1455,0
1456,0
1457,245
1458,191
1459,0
1460,0
1461,0
1462,0
1463,292
1464,0
1465,0
1466,0
1467,241
1468,0
1469,259
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,222
1477,285
1478,0
1479,0
1480,0
1481,246
1482,0
1483,0
1484,0
